contestId,index,name,type,tags,rating,points,solvedCount
2131,F,Unjust Binary Life,PROGRAMMING,"['binary search', 'data structures', 'greedy', 'greedy', 'math', 'sortings', 'two pointers']",1900.0,,3985
2131,E,Adjacent XOR,PROGRAMMING,"['brute force', 'greedy']",1400.0,,15203
2131,D,Arboris Contractio,PROGRAMMING,"['data structures', 'graphs', 'greedy', 'trees']",1400.0,,12707
2131,C,Make it Equal,PROGRAMMING,"['math', 'number theory']",1100.0,,19509
2131,B,Alternating Series,PROGRAMMING,"['constructive algorithms', 'greedy', 'math']",800.0,,28963
2131,A,Lever,PROGRAMMING,['math'],800.0,,35799
2130,B,Pathless,PROGRAMMING,['constructive algorithms'],1100.0,1000.0,19187
2130,A,Submission is All You Need,PROGRAMMING,"['greedy', 'math']",800.0,500.0,26377
2129,F2,Top-K Tracker (Hard Version),PROGRAMMING,"['interactive', 'interactive']",3500.0,2500.0,80
2129,F1,Top-K Tracker (Easy Version),PROGRAMMING,['interactive'],3500.0,2500.0,78
2129,E,Induced Subgraph Queries,PROGRAMMING,"['data structures', 'graphs', 'sortings']",3000.0,3000.0,399
2129,D,Permutation Blackhole,PROGRAMMING,"['brute force', 'combinatorics', 'dp', 'implementation', 'math']",2600.0,2000.0,824
2129,C3,Interactive RBS (Hard Version),PROGRAMMING,"['binary search', 'bitmasks', 'constructive algorithms', 'dp', 'interactive']",2300.0,750.0,1485
2129,C2,Interactive RBS (Medium Version),PROGRAMMING,"['binary search', 'bitmasks', 'constructive algorithms', 'interactive']",2000.0,750.0,2188
2129,C1,Interactive RBS (Easy Version),PROGRAMMING,"['binary search', 'bitmasks', 'constructive algorithms', 'interactive']",1900.0,750.0,3369
2129,B,Stay or Mirror,PROGRAMMING,"['brute force', 'data structures', 'dp', 'greedy', 'sortings']",1600.0,1000.0,11105
2129,A,Double Perspective,PROGRAMMING,"['constructive algorithms', 'dp', 'dsu', 'graphs', 'greedy', 'sortings']",1300.0,500.0,14361
2128,F,Strict Triangle,PROGRAMMING,"['graphs', 'greedy', 'shortest paths']",3200.0,4000.0,323
2128,E2,Submedians (Hard Version),PROGRAMMING,"['binary search', 'constructive algorithms', 'data structures', 'math', 'two pointers']",2600.0,1750.0,703
